GrLivArea,SalePrice
-0.006206753,-0.062922019
-0.005055332,-0.028702107
-0.071106308,0.068743573
-0.019794969,-0.061788368
0.113434436,-0.025498054
0.16408293,-0.058718725
-0.208917357,0.200629575
-0.045196364,0.101531003
-0.119844117,0.255711047
0.002007589,-0.099009331
-0.079427339,-0.308099055
-0.058554117,-0.03231427
-0.260748131,0.321459845
0.005927535,-0.072649058
-0.111026868,0.04931341
0.197279341,0.074822268
-0.091210023,-0.001308902
-0.033543905,-0.123254621
0.065901622,-0.018391148
-0.09573225,-0.191236317
0.518721404,0.17104511
0.52142241,0.194746581
-0.066006213,-0.031914597
-0.085924344,-0.076819299
0.032652769,-0.058853453
0.004212392,-0.118560763
-0.062685277,-0.009901303
0.482558165,0.170499019
-0.082041263,-0.016631935
-0.058529463,-0.144539643
-0.058529463,-0.144539643
-0.077429362,-0.021625818
-0.086134352,-0.087264994
-0.087619363,-0.1259014
-0.011191849,-0.002571686
0.058059701,-0.177781478
0.104802769,0.056800791
0.122759376,0.056231589
0.234866974,0.095007341
-0.075723338,-0.009855044
-0.049428486,-0.066427465
0.323444713,0.117086284
-0.015092584,-0.19753412
-0.019917765,-0.104372818
0.031803976,-0.006268632
-0.079684573,-0.020483685
-0.032306128,-0.104832336
0.16299569,0.048894357
0.039411977,-0.151241919
-0.048428901,-0.143385648
0.420044661,0.073790057
-0.043344288,-0.241193443
-0.148876233,0.080667303
-0.053307171,0.078464256
0.008147977,-0.053562456
-0.056147825,-0.028088726
-0.052176599,-0.069739542
-0.091466195,-0.020949462
-0.053946565,-0.038150975
-0.099231067,0.047660489
-0.271793664,0.346902843
0.14144062,-0.195154617
-0.059487037,0.042769771
0.199200853,-0.081852948
-0.061982328,-0.23650911
-0.137831534,0.016599685
-0.111728461,-0.01983464
0.121700833,0.006228668
-0.312884519,0.39738269
-0.011761295,0.031714807
0.034282714,-0.082091381
-0.086235454,0.00919149
-0.143690962,0.097647336
-0.074888161,-0.294821932
-0.075923724,-0.05228459
-0.041076024,0.098164376
-0.08618542,-0.017237846
-0.047495826,-0.065366442
0.027220811,-0.043872098
0.011400892,-0.036199769
-0.022581532,-0.150369022
-0.045384803,-0.074686403
0.435788123,0.223245649
0.117810712,-0.062165608
-0.125884187,0.057088095
0.1222045,-0.143986278
-0.086227266,-0.003902575
0.526782209,0.227596625
0.446114105,0.154565696
-0.088927668,-0.015753179
0.064919829,-0.050602056
0.037969986,-0.214439914
-0.078013908,-0.104037104
0.498601519,0.181942125
0.548847251,0.246035722
-0.014768048,-0.135810661
-0.028484965,-0.065304822
-0.076605063,-0.120001214
0.153503581,0.015879816
0.419484064,0.203119804
-0.127058084,0.095916704
-0.034241176,-0.088306507
-0.010914657,-0.089371551
-0.043230277,-0.078466448
-0.074427203,-0.013699603
-0.043700111,-0.031977747
-0.070554686,-0.065385603
-0.02889254,-0.0294734
-0.073597645,0.025315273
-0.147623183,0.126745051
-0.091027441,-0.097487229
0.010407635,0.017295458
0.062626102,-0.075732963
0.164384404,0.057776771
0.10286504,0.059137923
-0.065996291,-0.037352199
0.030064969,-0.072407008
-0.042553665,-0.088946623
0.02348732,-0.030387686
0.096898662,0.046045958
0.14925372,-0.015015459
-0.060864056,-0.215716429
-0.005308224,-0.131514402
-0.002317164,-0.054570936
-0.074542442,-0.084791327
0.012499247,-0.229371635
0.178333502,0.036263695
-0.136082292,0.121642153
-0.086111533,-0.240038633
-0.091425183,-0.028771918
-0.046225869,-0.050993004
0.167873299,0.003980666
-0.073108094,-0.026144887
-0.051808427,-0.06218989
-0.146189954,0.09980067
0.563952434,0.22530762
0.055319906,0.018890724
-0.036414453,-0.124074341
-0.023610976,-0.108694392
0.00424901,-0.145240153
-0.051837986,-0.057605886
0.155219103,0.060274912
0.135768044,0.174652617
0.054637143,-0.189230205
-0.085338669,-0.032669025
0.003981629,-0.1775897
-0.053024348,-0.118337342
0.434671899,0.18591881
0.48794879,0.147231325
-0.088633757,0.02694204
-0.276483291,0.393667894
0.016923715,-0.131075251
-0.011330011,-0.140592552
-0.160412052,0.128239236
-0.169114295,0.174855301
-0.069098711,-0.123322111
-0.096944704,-0.07980246
-0.086987635,-0.063764552
-0.401619678,0.554194772
-0.043974654,-0.115607672
0.166764636,-0.004410998
0.03867548,0.013330969
0.155867401,0.125730567
-0.058385331,-0.040500581
-0.023172474,-0.018899155
-0.048712207,-0.088767011
0.031300043,-0.031187158
-0.033540433,-0.081436266
0.069902473,-0.082761265
0.008785021,0.048050283
0.14993179,0.054361136
0.146507676,-0.000973192
-0.005275586,-0.018866076
0.288924339,0.079389195
-0.028339589,-0.148703803
-0.051699924,-0.083022683
-0.01944261,-0.095422145
-0.014936715,-0.075962911
-0.215479552,0.219912071
-0.023167273,-0.172143289
0.181067414,0.115600781
-0.021230296,-0.042796779
-0.012593867,-0.189694001
-0.063745652,-0.137764558
-0.070235005,-0.038977053
-0.241960526,0.3047612
-0.029540568,-0.243548301
-0.012746142,-0.220675675
0.583515437,0.180694921
0.3094192,0.06436134
-0.03697265,-0.141664632
0.096334621,-0.096921372
0.289100297,0.222623115
0.549714788,0.209825984
-0.392645329,0.553329032
-0.109182149,0.053336511
-0.035809128,-0.085588516
-0.328161332,0.405624711
0.220617471,-0.025983896
0.015287292,-0.012763966
-0.045139345,-0.330182137
-0.112971776,-0.162534499
-0.085976389,-0.08541424
0.746515461,0.36412462
-0.294007724,0.38437504
-0.083530084,-0.023537479
0.019904153,0.145914972
-0.009996524,-0.151085748
0.071827083,0.076307084
-0.049386395,-0.06679334
-0.043442647,-0.170579539
-0.176471396,0.16433168
-0.268319424,0.319924739
0.005879066,-0.15562116
-0.013308276,-0.039422986
0.404060498,0.137614303
